fbid,mother_tongue,locality,occupation,age,pages_liked_1,pages_liked_2,pages_liked_3,gender,marital_status,education_school,education_college
100208,Hindi,eu_ES,Civil Engineer,25,Mitacs Globalink,Narendra Modi,Silicon Valley,M,single,DPS,MIT
100209,Chinese,cs_CZ,Civil Engineer,26,Narendra Modi,Vidyamandir Classes,Silicon Valley,M,Married,Oxford School,MIT
100210,Portugese,eu_ES,Mechanical Engineer,35,Disha Patani,Silicon Valley,Shopmania,M,Married,DPS,MIT
100211,Portugese,gn_PY,Teacher,39,Shopmania,A.P.J Abdul Kalam,Narendra Modi,M,Married,Mount Carmel,CMU
100212,Hindi,eu_ES,Business Man,29,Narendra Modi,J.K Rowling,Mitacs Globalink,F,single,Oxford School,CMU
100213,English,cx_PH,Mechanical Engineer,28,Shopmania,Narendra Modi,Mitacs Globalink,F,Married,Indraprastha School,MIT
100214,Portugese,da_DK,Computer Engineer,28,MS Dhoni,Mitacs Globalink,A.P.J Abdul Kalam,F,single,DPS,Delhi technological University
100215,German,en_UD,Civil Engineer,22,Disha Patani,Vidyamandir Classes,MS Dhoni,F,Married,Indraprastha School,CMU
100216,German,es_ES,Teacher,27,Vidyamandir Classes,Terrible Tiny Tales,Disha Patani,M,Married,Mount Carmel,CMU
100217,Hindi,es_ES,Neurologist,24,Disha Patani,Silicon Valley,Terrible Tiny Tales,F,Married,Oxford School,MIT
100218,Spanish,de_DE,General Physician,31,Vidyamandir Classes,J.K Rowling,Terrible Tiny Tales,F,single,Indraprastha School,CMU
100219,Spanish,es_LA,General Physician,26,A.P.J Abdul Kalam,Vidyamandir Classes,Silicon Valley,M,Married,Indraprastha School,CMU
100220,Chinese,eu_ES,Computer Engineer,33,J.K Rowling,Disha Patani,Mitacs Globalink,F,single,Oxford School,Amity
100221,Portugese,ca_ES,Business Man,34,A.P.J Abdul Kalam,Disha Patani,Mitacs Globalink,F,single,Mount Carmel,Amity
100222,Spanish,de_DE,Dentist,22,Narendra Modi,J.K Rowling,Vidyamandir Classes,M,single,Neo Convent,MIT
100223,Portugese,es_ES,General Physician,27,A.P.J Abdul Kalam,Disha Patani,J.K Rowling,M,single,Neo Convent,MIT
100224,Chinese,en_US,Business Man,22,MS Dhoni,Mitacs Globalink,Vidyamandir Classes,M,single,Mount Carmel,MIT
100225,Hindi,cy_GB,Computer Engineer,30,Vidyamandir Classes,Disha Patani,Narendra Modi,F,Married,Neo Convent,Amity
100226,Chinese,cx_PH,General Physician,35,MS Dhoni,J.K Rowling,A.P.J Abdul Kalam,M,single,Neo Convent,Delhi technological University
100227,German,en_UD,Civil Engineer,39,Disha Patani,Mitacs Globalink,Narendra Modi,F,single,Oxford School,Delhi technological University
100228,Portugese,cx_PH,Teacher,26,Disha Patani,Shopmania,Silicon Valley,M,single,Oxford School,CMU
100229,German,es_ES,Mechanical Engineer,23,MS Dhoni,Disha Patani,Silicon Valley,M,Married,Mount Carmel,Delhi technological University
100230,Portugese,cs_CZ,Teacher,37,Silicon Valley,Vidyamandir Classes,A.P.J Abdul Kalam,M,single,DPS,Delhi technological University
100231,Chinese,es_LA,Computer Engineer,39,Vidyamandir Classes,Mitacs Globalink,MS Dhoni,M,single,DPS,Amity
100232,English,es_ES,Civil Engineer,25,Vidyamandir Classes,A.P.J Abdul Kalam,J.K Rowling,M,single,Mount Carmel,Delhi technological University
100233,English,ca_ES,Mechanical Engineer,24,MS Dhoni,Terrible Tiny Tales,Disha Patani,F,Married,Oxford School,CMU
100234,Portugese,da_DK,Civil Engineer,30,Silicon Valley,Narendra Modi,Mitacs Globalink,M,single,Mount Carmel,Maharaja Surajmal
100235,English,en_US,Civil Engineer,37,J.K Rowling,Shopmania,Mitacs Globalink,F,single,Oxford School,Delhi technological University
100236,English,cs_CZ,General Physician,24,Shopmania,MS Dhoni,Vidyamandir Classes,F,single,Oxford School,Delhi technological University
100237,English,cs_CZ,Business Man,35,Mitacs Globalink,Narendra Modi,Silicon Valley,M,Married,Oxford School,Delhi technological University
100238,English,ca_ES,Business Man,22,Disha Patani,A.P.J Abdul Kalam,J.K Rowling,M,Married,DPS,Maharaja Surajmal
100239,German,cx_PH,Mechanical Engineer,33,Terrible Tiny Tales,MS Dhoni,Mitacs Globalink,M,Married,Neo Convent,CMU
100240,Spanish,en_US,Computer Engineer,29,Silicon Valley,A.P.J Abdul Kalam,Vidyamandir Classes,F,single,Neo Convent,Maharaja Surajmal
100241,Portugese,en_UD,Teacher,35,MS Dhoni,Vidyamandir Classes,Narendra Modi,M,Married,Neo Convent,CMU
100242,Spanish,eu_ES,Neurologist,35,Terrible Tiny Tales,Disha Patani,MS Dhoni,F,single,DPS,Delhi technological University
100243,Hindi,es_ES,Teacher,34,Shopmania,Mitacs Globalink,Vidyamandir Classes,M,Married,DPS,MIT
100244,Portugese,es_LA,Civil Engineer,21,Terrible Tiny Tales,MS Dhoni,Shopmania,M,single,Neo Convent,CMU
100245,Chinese,da_DK,Neurologist,29,J.K Rowling,Disha Patani,Terrible Tiny Tales,M,single,Neo Convent,Maharaja Surajmal
100246,Hindi,cx_PH,Business Man,27,Vidyamandir Classes,MS Dhoni,Disha Patani,F,Married,Oxford School,Delhi technological University
100247,English,en_UD,Computer Engineer,26,MS Dhoni,Terrible Tiny Tales,Vidyamandir Classes,F,single,Oxford School,Amity
100248,English,gn_PY,Dentist,39,Shopmania,A.P.J Abdul Kalam,Narendra Modi,M,Married,Oxford School,Amity
100249,Spanish,en_US,Business Man,39,A.P.J Abdul Kalam,MS Dhoni,Terrible Tiny Tales,F,single,Indraprastha School,MIT
100250,Chinese,eu_ES,Business Man,28,Silicon Valley,Vidyamandir Classes,Shopmania,M,single,Indraprastha School,Delhi technological University
100251,English,gn_PY,Business Man,20,Vidyamandir Classes,MS Dhoni,Terrible Tiny Tales,M,Married,Oxford School,Amity
100252,Portugese,da_DK,Mechanical Engineer,23,Disha Patani,MS Dhoni,Terrible Tiny Tales,F,Married,Indraprastha School,Maharaja Surajmal
100253,Portugese,ca_ES,Business Man,40,Mitacs Globalink,MS Dhoni,Silicon Valley,F,Married,DPS,MIT
100254,Spanish,cs_CZ,Mechanical Engineer,31,MS Dhoni,Narendra Modi,Shopmania,M,single,DPS,Maharaja Surajmal
100255,Portugese,en_UD,Civil Engineer,29,Silicon Valley,A.P.J Abdul Kalam,Vidyamandir Classes,F,Married,DPS,Delhi technological University
100256,English,de_DE,Mechanical Engineer,24,Shopmania,MS Dhoni,Silicon Valley,M,single,Indraprastha School,Amity
100257,English,cx_PH,Teacher,32,Narendra Modi,Disha Patani,Silicon Valley,M,single,Neo Convent,Maharaja Surajmal
100258,English,da_DK,Mechanical Engineer,31,MS Dhoni,A.P.J Abdul Kalam,Vidyamandir Classes,F,Married,Oxford School,Maharaja Surajmal
100259,Chinese,de_DE,Mechanical Engineer,34,Disha Patani,Shopmania,Silicon Valley,F,Married,Indraprastha School,CMU
100260,English,ca_ES,Neurologist,27,MS Dhoni,Terrible Tiny Tales,A.P.J Abdul Kalam,M,single,Mount Carmel,Delhi technological University
100261,Portugese,es_LA,Neurologist,37,J.K Rowling,Shopmania,Terrible Tiny Tales,F,Married,Mount Carmel,Maharaja Surajmal
100262,Hindi,es_LA,Dentist,38,MS Dhoni,Vidyamandir Classes,Narendra Modi,F,single,Mount Carmel,Maharaja Surajmal
100263,Chinese,gn_PY,General Physician,33,Silicon Valley,Mitacs Globalink,J.K Rowling,F,Married,Neo Convent,Maharaja Surajmal
100264,English,en_US,Dentist,37,Shopmania,MS Dhoni,Narendra Modi,M,single,Oxford School,Delhi technological University
100265,Chinese,cy_GB,Dentist,21,Narendra Modi,Vidyamandir Classes,Disha Patani,M,Married,DPS,Delhi technological University
100266,German,en_US,Business Man,37,Silicon Valley,Disha Patani,Narendra Modi,M,single,DPS,Maharaja Surajmal
100267,German,en_UD,General Physician,20,Disha Patani,J.K Rowling,MS Dhoni,M,Married,Mount Carmel,Amity
100268,Spanish,eu_ES,Civil Engineer,35,Silicon Valley,Terrible Tiny Tales,Shopmania,M,Married,Indraprastha School,CMU
100269,Chinese,en_US,Mechanical Engineer,26,Vidyamandir Classes,J.K Rowling,MS Dhoni,F,single,Oxford School,Delhi technological University
100270,English,es_LA,Computer Engineer,29,Shopmania,J.K Rowling,A.P.J Abdul Kalam,M,single,Neo Convent,MIT
100271,Hindi,gn_PY,Business Man,20,Terrible Tiny Tales,MS Dhoni,Shopmania,F,single,Mount Carmel,Delhi technological University
100272,Hindi,gn_PY,General Physician,22,Mitacs Globalink,J.K Rowling,Shopmania,M,Married,Oxford School,MIT
100273,German,ca_ES,Neurologist,24,Terrible Tiny Tales,Silicon Valley,Disha Patani,F,Married,DPS,Maharaja Surajmal
100274,Spanish,cy_GB,Computer Engineer,20,Terrible Tiny Tales,MS Dhoni,J.K Rowling,M,single,Neo Convent,Maharaja Surajmal
100275,Chinese,cy_GB,Teacher,25,J.K Rowling,Vidyamandir Classes,Terrible Tiny Tales,F,single,Mount Carmel,Delhi technological University
100276,Hindi,cx_PH,Business Man,26,Narendra Modi,Shopmania,J.K Rowling,F,single,DPS,Maharaja Surajmal
100277,English,ca_ES,Dentist,32,Terrible Tiny Tales,Shopmania,Mitacs Globalink,F,Married,Indraprastha School,MIT
100278,Chinese,eu_ES,Teacher,30,Terrible Tiny Tales,Narendra Modi,Vidyamandir Classes,F,Married,Neo Convent,Maharaja Surajmal
100279,English,en_US,Computer Engineer,37,Vidyamandir Classes,Terrible Tiny Tales,Narendra Modi,M,single,DPS,Amity
100280,Chinese,cy_GB,General Physician,28,A.P.J Abdul Kalam,Mitacs Globalink,Shopmania,M,Married,DPS,CMU
100281,Portugese,da_DK,Civil Engineer,29,A.P.J Abdul Kalam,Vidyamandir Classes,Disha Patani,M,Married,DPS,Delhi technological University
100282,Spanish,es_ES,General Physician,26,MS Dhoni,Disha Patani,Vidyamandir Classes,F,single,Mount Carmel,Maharaja Surajmal
100283,Spanish,es_ES,Business Man,27,Disha Patani,Terrible Tiny Tales,Silicon Valley,F,single,Indraprastha School,MIT
100284,German,da_DK,General Physician,21,Silicon Valley,A.P.J Abdul Kalam,Shopmania,F,Married,DPS,MIT
100285,Hindi,es_ES,Neurologist,27,Shopmania,Disha Patani,MS Dhoni,M,single,Neo Convent,CMU
100286,Chinese,en_UD,Teacher,20,MS Dhoni,Narendra Modi,J.K Rowling,M,Married,DPS,MIT
100287,Spanish,en_US,Business Man,40,Vidyamandir Classes,Terrible Tiny Tales,Silicon Valley,M,Married,Neo Convent,CMU
100288,Hindi,eu_ES,General Physician,24,Shopmania,Terrible Tiny Tales,Vidyamandir Classes,F,Married,Oxford School,Maharaja Surajmal
100289,English,da_DK,General Physician,20,Shopmania,J.K Rowling,MS Dhoni,F,single,Neo Convent,CMU
100290,German,cx_PH,Computer Engineer,35,Disha Patani,Terrible Tiny Tales,Mitacs Globalink,M,single,Oxford School,Delhi technological University
100291,English,de_DE,Civil Engineer,20,Vidyamandir Classes,Shopmania,A.P.J Abdul Kalam,F,single,Neo Convent,Amity
100292,Spanish,gn_PY,Teacher,38,Mitacs Globalink,Narendra Modi,Disha Patani,F,single,Oxford School,CMU
100293,English,es_ES,Teacher,26,Vidyamandir Classes,MS Dhoni,Mitacs Globalink,F,Married,Neo Convent,MIT
100294,Hindi,en_US,Mechanical Engineer,21,Silicon Valley,MS Dhoni,Shopmania,M,single,Mount Carmel,Delhi technological University
100295,Chinese,eu_ES,Neurologist,21,MS Dhoni,Terrible Tiny Tales,Shopmania,M,Married,Indraprastha School,Amity
100296,Hindi,eu_ES,Civil Engineer,21,Narendra Modi,Terrible Tiny Tales,Shopmania,F,single,Indraprastha School,MIT
100297,Chinese,en_UD,General Physician,31,J.K Rowling,Shopmania,MS Dhoni,F,single,DPS,CMU
100298,English,ca_ES,Teacher,36,Shopmania,MS Dhoni,Silicon Valley,F,Married,DPS,MIT
100299,Hindi,eu_ES,Civil Engineer,20,MS Dhoni,Silicon Valley,Vidyamandir Classes,F,Married,Neo Convent,Amity
100300,Chinese,gn_PY,Computer Engineer,27,Terrible Tiny Tales,MS Dhoni,A.P.J Abdul Kalam,M,single,DPS,CMU
100301,Spanish,cx_PH,Teacher,36,Narendra Modi,Terrible Tiny Tales,Shopmania,M,Married,DPS,CMU
100302,Spanish,eu_ES,Civil Engineer,30,Vidyamandir Classes,A.P.J Abdul Kalam,Silicon Valley,M,Married,Neo Convent,Amity
100303,German,es_ES,General Physician,38,A.P.J Abdul Kalam,Terrible Tiny Tales,Silicon Valley,M,Married,Neo Convent,MIT
100304,Spanish,cx_PH,Dentist,38,Silicon Valley,Disha Patani,J.K Rowling,F,single,Oxford School,MIT
100305,English,de_DE,Civil Engineer,39,MS Dhoni,J.K Rowling,Mitacs Globalink,F,Married,Mount Carmel,Delhi technological University
100306,German,de_DE,Teacher,32,Disha Patani,A.P.J Abdul Kalam,Narendra Modi,M,single,Indraprastha School,Delhi technological University
100307,Spanish,en_UD,Neurologist,40,J.K Rowling,Terrible Tiny Tales,A.P.J Abdul Kalam,F,single,Neo Convent,Amity
100308,German,gn_PY,Business Man,36,J.K Rowling,Vidyamandir Classes,Silicon Valley,F,Married,Mount Carmel,MIT
100309,English,gn_PY,Neurologist,34,J.K Rowling,Narendra Modi,Disha Patani,M,single,Oxford School,Amity
100310,Spanish,eu_ES,Teacher,22,Disha Patani,A.P.J Abdul Kalam,Shopmania,M,single,Neo Convent,CMU
100311,Hindi,gn_PY,Teacher,26,Vidyamandir Classes,Narendra Modi,J.K Rowling,M,single,Oxford School,Amity
100312,Hindi,cs_CZ,Neurologist,40,J.K Rowling,Shopmania,Mitacs Globalink,M,single,Oxford School,Delhi technological University
100313,Portugese,ca_ES,Neurologist,37,Terrible Tiny Tales,A.P.J Abdul Kalam,J.K Rowling,M,single,Mount Carmel,Delhi technological University
100314,Hindi,ca_ES,General Physician,39,Narendra Modi,J.K Rowling,MS Dhoni,M,single,Indraprastha School,MIT
100315,Spanish,cx_PH,Computer Engineer,29,Silicon Valley,Mitacs Globalink,MS Dhoni,M,single,Mount Carmel,Delhi technological University
100316,Spanish,eu_ES,General Physician,27,Silicon Valley,Narendra Modi,Disha Patani,F,Married,Indraprastha School,Amity
100317,Chinese,es_LA,General Physician,39,Narendra Modi,Disha Patani,Terrible Tiny Tales,M,single,Indraprastha School,Amity
100318,Hindi,es_LA,General Physician,34,Terrible Tiny Tales,Silicon Valley,Narendra Modi,F,Married,Oxford School,Maharaja Surajmal
100319,Spanish,cy_GB,Civil Engineer,32,Terrible Tiny Tales,A.P.J Abdul Kalam,Silicon Valley,M,single,Mount Carmel,Amity
100320,Portugese,cs_CZ,Mechanical Engineer,34,Silicon Valley,J.K Rowling,Vidyamandir Classes,F,Married,Indraprastha School,CMU
100321,Spanish,da_DK,Business Man,20,Mitacs Globalink,Disha Patani,Shopmania,F,single,Neo Convent,Amity
100322,Spanish,da_DK,Civil Engineer,32,A.P.J Abdul Kalam,Vidyamandir Classes,MS Dhoni,F,single,Mount Carmel,Maharaja Surajmal
100323,Chinese,en_UD,Dentist,38,Vidyamandir Classes,Terrible Tiny Tales,Shopmania,M,single,Mount Carmel,Delhi technological University
100324,Portugese,cx_PH,Neurologist,28,Vidyamandir Classes,A.P.J Abdul Kalam,Terrible Tiny Tales,F,Married,Oxford School,Amity
100325,Spanish,en_UD,Dentist,30,Vidyamandir Classes,J.K Rowling,Silicon Valley,M,Married,Mount Carmel,MIT
100326,English,ca_ES,Dentist,32,A.P.J Abdul Kalam,Mitacs Globalink,Silicon Valley,M,Married,Neo Convent,Delhi technological University
100327,Spanish,gn_PY,General Physician,34,Narendra Modi,J.K Rowling,MS Dhoni,M,Married,Oxford School,MIT
100328,English,de_DE,Computer Engineer,37,Shopmania,A.P.J Abdul Kalam,Mitacs Globalink,F,single,Mount Carmel,CMU
100329,English,cx_PH,Mechanical Engineer,29,Disha Patani,MS Dhoni,Narendra Modi,F,Married,Indraprastha School,Amity
100330,German,es_LA,Dentist,31,Mitacs Globalink,A.P.J Abdul Kalam,MS Dhoni,F,single,Neo Convent,MIT
100331,Hindi,es_ES,Neurologist,31,Narendra Modi,MS Dhoni,Mitacs Globalink,F,Married,Neo Convent,Amity
100332,English,cy_GB,Teacher,40,A.P.J Abdul Kalam,Shopmania,Mitacs Globalink,F,Married,Neo Convent,MIT
100333,Spanish,cx_PH,Computer Engineer,39,MS Dhoni,J.K Rowling,Vidyamandir Classes,M,Married,Neo Convent,Delhi technological University
100334,Chinese,en_UD,Teacher,20,Terrible Tiny Tales,Narendra Modi,MS Dhoni,M,Married,Oxford School,Maharaja Surajmal
100335,Chinese,gn_PY,General Physician,24,A.P.J Abdul Kalam,Shopmania,Narendra Modi,F,single,Neo Convent,Delhi technological University
100336,English,en_US,Neurologist,28,Vidyamandir Classes,Silicon Valley,Shopmania,F,single,Neo Convent,MIT
100337,German,cy_GB,General Physician,22,Terrible Tiny Tales,Disha Patani,Shopmania,M,single,DPS,Maharaja Surajmal
100338,English,cy_GB,Teacher,24,Disha Patani,Vidyamandir Classes,MS Dhoni,F,Married,Neo Convent,Delhi technological University
100339,Portugese,cx_PH,Neurologist,40,Terrible Tiny Tales,Mitacs Globalink,A.P.J Abdul Kalam,F,Married,Mount Carmel,Delhi technological University
100340,English,ca_ES,Neurologist,25,MS Dhoni,Terrible Tiny Tales,J.K Rowling,F,single,Oxford School,Delhi technological University
100341,German,gn_PY,Civil Engineer,32,A.P.J Abdul Kalam,Vidyamandir Classes,Terrible Tiny Tales,F,single,DPS,CMU
100342,Portugese,gn_PY,General Physician,39,MS Dhoni,Narendra Modi,Vidyamandir Classes,F,single,DPS,MIT
100343,Chinese,cs_CZ,Business Man,22,Vidyamandir Classes,J.K Rowling,MS Dhoni,M,Married,Mount Carmel,Maharaja Surajmal
100344,German,gn_PY,Dentist,40,Disha Patani,MS Dhoni,Narendra Modi,F,single,Mount Carmel,Amity
100345,English,eu_ES,Civil Engineer,39,Narendra Modi,Terrible Tiny Tales,Mitacs Globalink,M,single,DPS,CMU
100346,Hindi,es_LA,Neurologist,36,A.P.J Abdul Kalam,Mitacs Globalink,J.K Rowling,M,single,Indraprastha School,Maharaja Surajmal
100347,German,es_ES,General Physician,28,Disha Patani,Mitacs Globalink,Terrible Tiny Tales,M,Married,Mount Carmel,Delhi technological University
100348,English,gn_PY,Mechanical Engineer,40,Silicon Valley,MS Dhoni,Disha Patani,F,Married,Indraprastha School,MIT
100349,Chinese,es_LA,Dentist,20,Terrible Tiny Tales,Narendra Modi,Shopmania,M,Married,DPS,Delhi technological University
100350,English,da_DK,Civil Engineer,28,MS Dhoni,Disha Patani,J.K Rowling,M,Married,Oxford School,MIT
100351,German,es_LA,Business Man,40,Terrible Tiny Tales,A.P.J Abdul Kalam,Disha Patani,M,single,Oxford School,Amity
100352,English,de_DE,Teacher,32,Disha Patani,Narendra Modi,Terrible Tiny Tales,M,Married,Oxford School,Amity
100353,Chinese,es_ES,Dentist,26,Mitacs Globalink,Silicon Valley,A.P.J Abdul Kalam,M,Married,Neo Convent,Maharaja Surajmal
100354,Spanish,gn_PY,Neurologist,22,Shopmania,Silicon Valley,Narendra Modi,M,single,Indraprastha School,MIT
100355,English,ca_ES,Computer Engineer,23,Narendra Modi,A.P.J Abdul Kalam,Terrible Tiny Tales,F,single,Neo Convent,MIT
100356,German,es_LA,Mechanical Engineer,20,J.K Rowling,Disha Patani,MS Dhoni,F,Married,Oxford School,CMU
100357,German,ca_ES,Teacher,31,MS Dhoni,Mitacs Globalink,Disha Patani,F,single,Indraprastha School,MIT
100358,Chinese,ca_ES,General Physician,35,A.P.J Abdul Kalam,Disha Patani,Narendra Modi,M,single,Indraprastha School,Delhi technological University
100359,Hindi,ca_ES,Business Man,20,Silicon Valley,A.P.J Abdul Kalam,J.K Rowling,M,Married,Oxford School,MIT
100360,Hindi,en_US,Business Man,22,Shopmania,Mitacs Globalink,A.P.J Abdul Kalam,M,Married,Oxford School,CMU
100361,Chinese,de_DE,Computer Engineer,39,MS Dhoni,Silicon Valley,Shopmania,M,Married,Neo Convent,MIT
100362,English,es_LA,Mechanical Engineer,23,Silicon Valley,J.K Rowling,Shopmania,F,Married,Indraprastha School,Maharaja Surajmal
100363,English,eu_ES,Business Man,21,Silicon Valley,Shopmania,Narendra Modi,F,Married,DPS,Maharaja Surajmal
100364,Hindi,eu_ES,General Physician,35,MS Dhoni,Terrible Tiny Tales,Shopmania,M,single,Neo Convent,Amity
100365,Chinese,ca_ES,Business Man,29,Silicon Valley,Terrible Tiny Tales,J.K Rowling,M,single,DPS,Delhi technological University
100366,English,en_US,General Physician,24,Terrible Tiny Tales,MS Dhoni,Mitacs Globalink,F,single,DPS,CMU
100367,Hindi,cy_GB,Computer Engineer,24,J.K Rowling,Narendra Modi,Disha Patani,M,single,Neo Convent,MIT
100368,Chinese,ca_ES,Dentist,23,MS Dhoni,A.P.J Abdul Kalam,Mitacs Globalink,M,Married,Indraprastha School,MIT
100369,Portugese,cy_GB,General Physician,37,Terrible Tiny Tales,A.P.J Abdul Kalam,Vidyamandir Classes,M,Married,Indraprastha School,CMU
100370,Chinese,da_DK,Teacher,22,Terrible Tiny Tales,Shopmania,Silicon Valley,M,Married,Oxford School,MIT
100371,English,en_US,Dentist,29,Mitacs Globalink,Narendra Modi,Disha Patani,F,Married,DPS,Delhi technological University
100372,German,cs_CZ,Teacher,27,Disha Patani,Mitacs Globalink,Silicon Valley,F,single,Mount Carmel,CMU
100373,Spanish,cs_CZ,Civil Engineer,40,A.P.J Abdul Kalam,J.K Rowling,Mitacs Globalink,M,single,Indraprastha School,Maharaja Surajmal
100374,German,gn_PY,General Physician,23,Vidyamandir Classes,MS Dhoni,Silicon Valley,M,single,Mount Carmel,Delhi technological University
100375,German,cs_CZ,Mechanical Engineer,34,Vidyamandir Classes,A.P.J Abdul Kalam,Shopmania,F,Married,Oxford School,Delhi technological University
100376,English,en_US,Dentist,23,Silicon Valley,Narendra Modi,Disha Patani,M,Married,DPS,Amity
100377,Hindi,en_US,Computer Engineer,24,Shopmania,MS Dhoni,A.P.J Abdul Kalam,M,single,Neo Convent,Delhi technological University
100378,Portugese,cy_GB,Dentist,31,Silicon Valley,Vidyamandir Classes,A.P.J Abdul Kalam,F,Married,Oxford School,Maharaja Surajmal
100379,Portugese,gn_PY,Mechanical Engineer,21,Narendra Modi,A.P.J Abdul Kalam,Mitacs Globalink,F,Married,Neo Convent,MIT
100380,Portugese,es_LA,Mechanical Engineer,22,A.P.J Abdul Kalam,Vidyamandir Classes,Mitacs Globalink,F,single,Mount Carmel,Amity
100381,German,en_US,Dentist,32,Silicon Valley,Terrible Tiny Tales,Disha Patani,M,Married,Neo Convent,Delhi technological University
100382,Portugese,es_ES,General Physician,27,A.P.J Abdul Kalam,Terrible Tiny Tales,Mitacs Globalink,M,single,Mount Carmel,CMU
100383,Portugese,eu_ES,Business Man,26,Mitacs Globalink,Narendra Modi,Terrible Tiny Tales,M,Married,DPS,Amity
100384,Spanish,en_US,Neurologist,30,Narendra Modi,MS Dhoni,Vidyamandir Classes,F,single,Oxford School,Amity
100385,Portugese,es_LA,Teacher,26,Narendra Modi,Terrible Tiny Tales,A.P.J Abdul Kalam,F,Married,Mount Carmel,CMU
100386,Chinese,cx_PH,Mechanical Engineer,35,Vidyamandir Classes,Shopmania,Silicon Valley,M,Married,Neo Convent,Delhi technological University
100387,Spanish,ca_ES,Computer Engineer,20,A.P.J Abdul Kalam,Shopmania,Terrible Tiny Tales,F,single,Mount Carmel,Delhi technological University
100388,Chinese,en_UD,Business Man,26,Silicon Valley,Mitacs Globalink,A.P.J Abdul Kalam,M,single,Indraprastha School,CMU
100389,Portugese,de_DE,Computer Engineer,37,A.P.J Abdul Kalam,Silicon Valley,MS Dhoni,M,single,DPS,Amity
100390,German,gn_PY,Dentist,25,Mitacs Globalink,Silicon Valley,MS Dhoni,M,Married,Oxford School,CMU
100391,Chinese,en_UD,Neurologist,27,Narendra Modi,Terrible Tiny Tales,MS Dhoni,F,single,Mount Carmel,Maharaja Surajmal
100392,Chinese,cs_CZ,Neurologist,35,Disha Patani,Mitacs Globalink,MS Dhoni,F,Married,Oxford School,CMU
100393,Hindi,gn_PY,Civil Engineer,37,MS Dhoni,J.K Rowling,Disha Patani,M,single,Oxford School,MIT
100394,Spanish,en_UD,General Physician,34,Mitacs Globalink,Terrible Tiny Tales,A.P.J Abdul Kalam,F,Married,Indraprastha School,MIT
100395,Spanish,da_DK,Dentist,24,Disha Patani,Terrible Tiny Tales,Narendra Modi,M,single,DPS,MIT
100396,English,ca_ES,Dentist,29,A.P.J Abdul Kalam,MS Dhoni,Shopmania,F,single,Mount Carmel,CMU
100397,German,eu_ES,General Physician,27,Vidyamandir Classes,Narendra Modi,A.P.J Abdul Kalam,M,Married,Oxford School,CMU
100398,Hindi,es_ES,Business Man,26,Silicon Valley,Shopmania,MS Dhoni,F,Married,Indraprastha School,CMU
100399,German,gn_PY,Neurologist,20,Disha Patani,Mitacs Globalink,Terrible Tiny Tales,F,single,Mount Carmel,Maharaja Surajmal
100400,English,ca_ES,Civil Engineer,34,MS Dhoni,Shopmania,Silicon Valley,M,single,Indraprastha School,Delhi technological University
100401,Portugese,es_ES,Neurologist,35,Disha Patani,Silicon Valley,Narendra Modi,M,single,DPS,CMU
100402,German,eu_ES,Neurologist,36,Terrible Tiny Tales,MS Dhoni,Mitacs Globalink,F,Married,Indraprastha School,Amity
100403,Hindi,da_DK,Civil Engineer,28,Terrible Tiny Tales,Narendra Modi,MS Dhoni,F,single,Mount Carmel,CMU
100404,English,de_DE,Mechanical Engineer,24,Vidyamandir Classes,J.K Rowling,Shopmania,F,Married,Neo Convent,Delhi technological University
100405,Hindi,cs_CZ,Business Man,26,Mitacs Globalink,J.K Rowling,A.P.J Abdul Kalam,F,single,Oxford School,Delhi technological University
100406,English,ca_ES,Teacher,30,Terrible Tiny Tales,Disha Patani,Mitacs Globalink,M,Married,Mount Carmel,MIT
100407,Chinese,de_DE,Teacher,23,MS Dhoni,Shopmania,Vidyamandir Classes,M,single,Mount Carmel,Amity
100408,Hindi,gn_PY,Dentist,39,Vidyamandir Classes,A.P.J Abdul Kalam,MS Dhoni,F,Married,Indraprastha School,CMU
100409,Chinese,gn_PY,Business Man,37,Vidyamandir Classes,A.P.J Abdul Kalam,Disha Patani,M,single,Neo Convent,MIT
100410,English,eu_ES,Mechanical Engineer,28,Narendra Modi,Vidyamandir Classes,Silicon Valley,M,single,Mount Carmel,MIT
100411,English,es_LA,Dentist,26,Silicon Valley,Mitacs Globalink,Terrible Tiny Tales,M,Married,Indraprastha School,CMU
100412,Portugese,da_DK,General Physician,23,Narendra Modi,Vidyamandir Classes,MS Dhoni,F,Married,Indraprastha School,Amity
100413,Chinese,en_UD,Teacher,27,Silicon Valley,Narendra Modi,A.P.J Abdul Kalam,F,single,Mount Carmel,Amity
100414,Spanish,cy_GB,Civil Engineer,20,Vidyamandir Classes,MS Dhoni,Terrible Tiny Tales,M,Married,Neo Convent,Amity
100415,Chinese,ca_ES,Mechanical Engineer,32,Vidyamandir Classes,Silicon Valley,Narendra Modi,F,Married,DPS,Maharaja Surajmal
100416,Chinese,da_DK,Computer Engineer,28,A.P.J Abdul Kalam,Mitacs Globalink,MS Dhoni,M,single,Indraprastha School,Amity
100417,Hindi,es_ES,General Physician,36,Shopmania,Silicon Valley,J.K Rowling,F,Married,Mount Carmel,MIT
100418,German,en_US,General Physician,31,Narendra Modi,MS Dhoni,J.K Rowling,F,single,Oxford School,MIT
100419,Portugese,cy_GB,Dentist,33,J.K Rowling,Silicon Valley,Disha Patani,F,single,Oxford School,Maharaja Surajmal
